Irradiances,Clear Sky,Clear Sky,Clear Sky,Total,Clearness,Net,PV,Solar,Sun,Sun,Vector,,vCumulativeRadiationArray,,,
,Direct,Diffuse,Reflected,Clear Sky,Index,Radiation,Output,Angle,Elevation,Azimuth,Dot Product,,Column 1,Column 2,Column 3,Column 4
Minute,,,,,,,,,,,,,,,,
61,0,0,0,0,0.19,0,0,165.0731883158107,-58.197793681605056,158.52049838956995,-0.9662556476698352,,0,0,,2.9695397191418973
62,0,0,0,0,0.21,0,0,164.89030528283143,-58.142804501362185,158.09688271330114,-0.9654285384623694,,0,0,,2.9769498424670364
63,0,0,0,0,0.21,0,0,164.70594328436334,-58.08679610901788,157.67440643042312,-0.9645847847884801,,0,0,,2.9843599657921756
64,0,0,0,0,0.19,0,0,164.52015551223283,-58.02977430819361,157.25308413659445,-0.9637244027120208,,0,0,,2.992270089117315
65,0,0,0,0,0.19,0,0,164.33299304148437,-57.97174496687696,156.83293001345714,-0.962847408613426,,0,0,,3.000180212442454
66,0,0,0,0,0.16,0,0,164.14450490927578,-57.9127140150136,156.41395782836364,-0.961953819189399,,0,0,,3.0088403357675935
67,0,0,0,0,0.14,0,0,163.95473819245728,-57.85268744210673,155.9961809344015,-0.9610436514525947,,0,0,,3.0180004590927325
68,0,0,0,0,0.13,0,0,163.76373808359284,-57.79167129482608,155.5796122707081,-0.9601169227312947,,0,0,,3.027410582417872
69,0,0,0,0,0.15,0,0,163.57154796522948,-57.72967167462878,155.16426436306938,-0.9591736506690779,,0,0,,3.036320705743011
70,0,0,0,0,0.15,0,0,163.37820948226053,-57.666694735393136,154.75014932479513,-0.9582138532244847,,0,0,,3.0452308290681502
71,0,0,0,0,0.14,0,0,163.183762612265,-57.60274668106728,154.33727885786425,-0.9572375486706751,,0,0,,3.0543909523932893
72,0,0,0,0,0.14,0,0,162.98824573373417,-57.537833763334504,153.92566425433097,-0.9562447555950802,,0,0,,3.0635510757184283
73,0,0,0,0,0.14,0,0,162.79169569212632,-57.47196227929667,153.51531639798688,-0.9552354928990492,,0,0,,3.0727111990435674
74,0,0,0,0,0.15,0,0,162.5941478637101,-57.405138569177055,153.10624576626807,-0.954209779797489,,0,0,,3.0816213223687066
75,0,0,0,0,0.14,0,0,162.39563621717886,-57.33736901404462,152.6984624324024,-0.9531676358184988,,0,0,,3.0907814456938456
76,0,0,0,0,0.14,0,0,162.1961933730337,-57.26866003356029,152.29197606778575,-0.9521090808029973,,0,0,,3.0999415690189847
77,0,0,0,0,0.13,0,0,161.99585066074863,-57.19901808374735,151.8867959445825,-0.9510341349043463,,0,0,,3.1093516923441236
78,0,0,0,0,0.13,0,0,161.79463817374017,-57.12844965478658,151.48293093853897,-0.9499428185879663,,0,0,,3.118761815669263
79,0,0,0,0,0.16,0,0,161.59258482217604,-57.05696126883792,151.08038953200347,-0.9488351526309466,,0,0,,3.1274219389944022
80,0,0,0,0,0.16,0,0,161.3897183836645,-56.9845594778891,150.67917981714396,-0.9477111581216509,,0,0,,3.1360820623195416
81,0,0,0,0,0.17,0,0,161.18606555187154,-56.91125086163299,150.27930949935484,-0.9465708564593138,,0,0,,3.1444921856446806
82,0,0,0,0,0.18,0,0,160.98165198311966,-56.837042025374174,149.8807859008449,-0.9454142693536357,,0,0,,3.1526523089698197
83,0,0,0,0,0.17,0,0,160.776502341024,-56.761939597965984,149.48361596439798,-0.9442414188243677,,0,0,,3.1610624322949588
84,0,0,0,0,0.2,0,0,160.57064033922694,-56.685950229778726,149.08780625729747,-0.9430523272008933,,0,0,,3.1687225556200977
85,0,0,0,0,0.22,0,0,160.36408878229085,-56.60908059069984,148.69336297540735,-0.941847017121803,,0,0,,3.175882678945237
86,0,0,0,0,0.22,0,0,160.1568696048139,-56.53133736816707,148.30029194740055,-0.9406255115344634,,0,0,,3.1830428022703763
87,0,0,0,0,0.22,0,0,159.94900390883052,-56.452727265234984,147.90859863912712,-0.9393878336945797,,0,0,,3.1902029255955155
88,0,0,0,0,0.21,0,0,159.7405119995628,-56.37325699867564,147.51828815811385,-0.9381340071657546,,0,0,,3.1976130489206547
89,0,0,0,0,0.22,0,0,159.53141341958272,-56.292933297114104,147.12936525818682,-0.9368640558190369,,0,0,,3.204773172245794
90,0,0,0,0,0.19,0,0,159.32172698145192,-56.21176289919895,146.74183434421047,-0.9355780038324706,,0,0,,3.2126832955709332
91,0,0,0,0,0.72,0,0,159.11147079889722,-56.129752551808785,146.35569947693315,-0.9342758756906311,,0,0,,3.2073434188960723
