,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simulation results - disaggregated. Individual dwelling simulations are listed below in sequential order (dwelling 1 first, then dwelling 2 etc.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwelling index,Date,Time,Occupancy,Activity,Lighting demand,Appliance demand,"Casual thermal gains from occupants, lighting and appliances",Outdoor temperature,Outdoor global radiation (horizontal),Passive solar gains,Primary heating system thermal output,External building node temperature,Internal building node temperature,Hot water demand (litres),Hot water temperature in hot water tank,Space heating timer settings,Hot water heating timer settings,Heating system switched on,Hot water heating required,Emitter temperature,Radiation incident on PV array,PV output,Net dwelling electricity demand,Heat output from primary heating system to space,Heat output from primary heating system to hot water,Fuel flow rate (gas),Solar power incident on collector,Solar thermal collector control state,Solar thermal collector temperature,Heat gains to cylinder from solar thermal collector,Dwelling self-consumption,Space cooling timer settings,Cooling system switched on,Cooling output from cooling system to space,Cooler Emitter temperature,Heating Thermostat Set Point,Cooling Thermostat Set Point,Electricity used by cooling system,Electricity used by heating system
,,,,,Plight,Pa,θc,θo,Go,φs,φh,θb,θi,,θcyl,,,,,θem,Gi,Ppv,Pnet,"φh, space","φh, water",mfuel,,,θcollector,φcollector,Pself,,,"φh, space",θem,θem,θem,,
,,,,,W,W,W,°C,Wm-2,W,W,°C,°C,ltr.min-1,°C,,,,,°C,Wm-2,W,W,W,W,m3/h,W,,°C,W,kWh,,,W,°C,°C,°C,W,W
1,2015-01-01 00:00:00,11:51:00,0,2,0,73,50.2,3.5148162390412345,166.29081732101454,747.3422378344959,0,14.732406170294686,21.812794568374137,0,44.36482225085604,1,1,0,0,53.86780491026908,615.6905261005946,615.6905261005946,-542.6905261005946,0,0,0,0,0,0,0,73,0,0,0,21.713464361911,20,25,0,0
1,2015-01-01 00:00:00,11:52:00,0,2,0,73,50.2,3.524857035109682,170.1133925765839,764.5216106454019,0,14.733586892903396,21.900947940543396,0,44.36095618896761,1,1,0,0,52.77749843605496,629.5290100050253,629.5290100050253,-556.5290100050253,0,0,0,0,0,0,0,73,0,0,0,21.812794568374137,20,25,0,0
1,2015-01-01 00:00:00,11:53:00,0,2,0,73,50.2,3.535133323031748,173.93389510744603,781.6916682412764,0,14.734828104770559,21.9792585900095,0,44.35710590183931,1,1,0,0,51.72727563008518,643.3622025049173,643.3622025049173,-570.3622025049173,0,0,0,0,0,0,0,73,0,0,0,21.900947940543396,20,25,0,0
1,2015-01-01 00:00:00,11:54:00,0,2,0,73,50.2,3.5457979893870113,179.54701283968217,806.9180760178393,0,14.73612334548232,22.048854007836315,0,44.353269699443,1,1,0,0,50.715438315796895,663.8264961461468,663.8264961461468,-590.8264961461468,0,0,0,0,0,0,0,73,0,0,0,21.9792585900095,20,25,0,0
1,2015-01-01 00:00:00,11:55:00,0,2,0,63,50.2,3.556377271104032,179.76787413066478,807.9106682373804,0,14.737466759708102,22.108701755573456,0,44.34944608532444,1,1,0,0,49.740384427771026,664.3616078338158,664.3616078338158,-601.3616078338158,0,0,0,0,0,0,0,63,0,0,0,22.048854007836315,20,25,0,0
1,2015-01-01 00:00:00,11:56:00,0,2,0,63,50.2,3.5668713061591304,179.97586681814494,808.8454265302244,0,14.73885181364823,22.159392583616448,0,44.34563338629648,1,1,0,0,48.800531275655466,664.865348328548,664.865348328548,-601.865348328548,0,0,0,0,0,0,0,63,0,0,0,22.108701755573456,20,25,0,0
1,2015-01-01 00:00:00,11:57:00,0,2,0,63,50.2,3.5772802289621994,180.1709805798948,809.7223045063363,0,14.740272371430272,22.201469619082665,0,44.3418300307303,1,1,0,0,47.89437009565414,665.3377276552657,665.3377276552657,-602.3377276552657,0,0,0,0,0,0,0,63,0,0,0,22.159392583616448,20,25,0,0
1,2015-01-01 00:00:00,11:58:00,0,2,0,63,50.2,3.587604170498876,180.35320574867578,810.541258719326,0,14.741722663158209,22.23544808597827,0,44.33803454037402,1,1,0,0,47.02046191617892,665.7787551866696,665.7787551866696,-602.7787551866696,0,0,0,0,0,0,0,63,0,0,0,22.201469619082665,20,25,0,0
1,2015-01-01 00:00:00,11:59:00,0,2,0,63,50.2,3.5978432584683957,180.52253330963634,811.3022486547536,0,14.743197266061976,22.261816496926034,0,44.334245525553264,1,1,0,0,46.17743423487958,666.1884396488638,666.1884396488638,-603.1884396488638,0,0,0,0,0,0,0,63,0,0,0,22.23544808597827,20,25,0,0
1,2015-01-01 00:00:00,12:00:00,0,2,0,63,50.2,3.607997617417282,180.67895489789305,812.0052367192583,0,14.744691086455237,22.281037978490577,0,44.33046168057693,1,1,0,0,45.3639778492349,666.5667891265963,666.5667891265963,-603.5667891265963,0,0,0,0,0,0,0,63,0,0,0,22.261816496926034,20,25,0,0
