,Appliance category,Appliance type,,,Proportion,Appliance demand configuration for UK,,,,,,,,,,,,,,,,,,,,,,,,,,,Databases of appliance ownership to draw from,,,,,,,,,,,,,,"Databases of annual energy demand to draw from, kWh/y per appliance",,,,,,,,"Databases of operating loads, Watts per appliance",,,,,,,,"Databases of standby loads, Watts per appliance",,,,,,,
,,,,,of dwellings,,,,,,,,,,,,,,,,,,,Time appliance,Time appliance,Time when,Time when ,Average tme ,Probability of ,Overall average demand,Appliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,with,Associated,Average,Total number,Average number,Probability of ,Active occupancy,Active,Number of minutes,Probability of,,,,Delay start,,,,,Target number,spent running,spent in delayed,appliance is,appliance could,between switch,switch on event,per dwelling taking,mean,Heat gains ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,appliance,activity use,activity,of minutes,of minutes activity,activity occurring,dependent?,occupancy-dependent,in which appliance,activity occurring ,Mean cycle,Mean cycle ,Mean cycle,after cycle,Standby,Standby losses,Target demand,Target demand,of cycles,in period,restart mode,available to ,be switched on,on events,,ownership into,power,(for casual,UK,India,,,,,,India,,,,,,Appliance,UK,India,,,,,,,UK,India,,,,,,,UK,India,,,,,,
,,UK Appliance Names,Indian Database Equivalent,Short name,,profile,probability,in period,performed in period,,,probability,can operate,given active,power,demand,length,has finished,Power,for period,for period,for cycles only,in period,,,switch on,due to activity occurring,,,account,factor,thermal gains),Urban/Rural,Urban,,,,,,Rural,,,,,,no,Urban/Rural,Urban/Rural,,,,,,,Urban/Rural,Urban/Rural,,,,,,,Urban/Rural,Urban/Rural,,,,,,
,,,,,,,,(minutes/year),(minutes/year),,,multiplier,(min),occupancy,(W),(kWh),(min),(min),(W),,(kWh/y),(kWh/y),(cycles/y),(min),(min),(min),(min),(min),,(kWh/y),,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,2006,2011.0,2016.0,2021.0,2026.0,2031.0,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,
,,TV Receiver box,,RECEIVER,0.934,ACT_TV,0.1505303894801248,525600,79118.77271075359,0.1505303894801248,YES,0.47196350983623836,248064.0207699269,0.31894497422556195,26.823742372673486,0.03263555322008607,73,0,15,131.4,152.464,21.063999999999993,1464.2467813187068,106890.0150362656,0,141174.0057336613,45026.73962004194,30.750786134213435,0.032519493831326685,142.401376,1,1,0.934,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19,152.464,88.63594547747896,76.24130528542948,46.99540279094576,32.76530653918407,25.616566349215066,23.48522656096876,,26.823742372673486,15.594158400974846,13.413508311028895,8.268132655343882,5.764561741583241,4.506848673941664,4.131871568601732,,15,8.720348293119583,7.500915490092363,4.623590105626157,3.2235780124341544,2.5202572098215055,2.310567730182413,19.0
,Cooking,Hob,,HOB,0.463,ACT_COOKING,0.06722999778206287,525600,35336.086834252244,0.06722999778206287,YES,0.47196350983623836,248064.0207699269,0.14244744854404168,2400,0.64,16,0,1,8.76,276.1058441358748,267.3458441358748,417.9020072986788,6686.432116778861,0,241377.58865314804,34383.62163935416,82.27675636594834,0.012154100917058847,127.83700583491004,1,0.3,0.463,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20,276.1058441358748,276.1058441358748,276.1058441358748,276.1058441358748,276.1058441358748,276.1058441358748,276.1058441358748,,2400,2400,2400.0,2400.0,2400.0,2400.0,2400.0,,1,1,1.0,1.0,1.0,1.0,1.0,20.0
,,Oven,Electric Oven,OVEN,0.616,ACT_COOKING,0.06722999778206287,525600,35336.086834252244,0.06722999778206287,YES,0.47196350983623836,248064.0207699269,0.14244744854404168,2125,0.95625,27,0,3,26.28,236.16014568301978,209.88014568301978,219.7928010085033,5934.405627229588,0,242129.6151426973,34490.74589402799,156.92391077309952,0.006372515157654506,145.47464974074018,1,0.6,0.616,0.07759275683624077,0.10543622701548949,0.1459532666610196,0.19647067175035032,0.25524767096018036,0.29768119676727106,0,0.0,0.0,0.0,0.0,0.0,21,236.16014568301978,87.36,99.008,108.56299999999999,113.568,115.661,116.389,,2125,960,1088.0,1193.0,1248.0,1271.0,1279.0,,3,0,0.0,0.0,0.0,0.0,0.0,21.0
,,Microwave,Microwave,MICROWAVE,0.859,ACT_COOKING,0.06722999778206287,525600,35336.086834252244,0.06722999778206287,YES,0.47196350983623836,248064.0207699269,0.14244744854404168,1250,0.625,30,0,2,17.52,76.56245718212277,59.042457182122774,94.61932240724803,2838.579672217441,0,245225.44109770947,34931.73840245589,369.18187019039624,0.002708692058697994,65.76715071944346,1,1,0.859,0.10836229834026728,0.14325574322756726,0.19561791989983876,0.26045882631124423,0.33449122893801414,0.3872817559932406,0,0.0,0.0,0.0,0.0,0.0,22,76.56245718212277,72.216,68.376,65.304,63.768,63.0,63.0,,1250,1080,1080.0,1080.0,1080.0,1080.0,1080.0,,2,4.2,3.7,3.3,3.1,3.0,3.0,22.0
,,Kettle,,KETTLE,0.975,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,2000,0.1,3,0,1,8.76,160.66629547333386,151.90629547333387,1519.8228661664218,4559.468598499266,0,243504.55217142764,243504.55217142764,160.21903446264093,0.006241455663204455,156.64963808650052,1,1,0.975,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23,160.66629547333386,160.66629547333386,160.66629547333386,160.66629547333386,160.66629547333386,160.66629547333386,160.66629547333386,,2000,2000,2000.0,2000.0,2000.0,2000.0,2000.0,,1,1,1.0,1.0,1.0,1.0,1.0,23.0
,,Small cooking (group),Toaster,SMALL_COOKING,1,ACT_COOKING,0.06722999778206287,525600,35336.086834252244,0.06722999778206287,YES,0.47196350983623836,248064.0207699269,0.14244744854404168,1000,0.05,3,0,2,17.52,32.107078579648714,14.587078579648715,292.3262240410564,876.9786721231692,0,247187.04209780373,35211.16345998076,120.45160702050272,0.008302089318158989,32.107078579648714,1,0.6,1,0.04816102148456324,0.07907717026161713,0.12770910832839213,0.1901619804556143,0.25775009910684876,0.3006431987251543,0,0.0,0.0,0.0,0.0,0.0,24,32.107078579648714,72.8,93.821,107.562,113.38600000000001,115.57,116.298,,1000,800,1031.0,1182.0,1246.0,1270.0,1278.0,,2,0,0.0,0.0,0.0,0.0,0.0,24.0
,Wet,Dish washer,,DISH_WASHER,0.335,ACT_COOKING,0.06722999778206287,525600,35336.086834252244,0.06722999778206287,YES,0.47196350983623836,248064.0207699269,0.14244744854404168,1130.6122448979593,1.1306122448979594,60,0,0,0,273.01616986258034,273.01616986258034,241.47639572683096,14488.583743609857,0,233575.43702631703,33272.225046958345,137.78665590403045,0.007257596851007897,91.46041690396441,0.8,0.2,0.335,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25,273.01616986258034,273.01616986258034,273.01616986258034,273.01616986258034,273.01616986258034,273.01616986258034,273.01616986258034,,1130.6122448979593,1130.6122448979593,1130.6122448979593,1130.6122448979593,1130.6122448979593,1130.6122448979593,1130.6122448979593,,0,0,0.0,0.0,0.0,0.0,0.0,25.0
,,Tumble dryer,,TUMBLE_DRYER,0.416,ACT_LAUNDRY,0.008239631180411256,525600,4330.750148424157,0.008239631180411256,YES,0.47196350983623836,248064.0207699269,0.017458195408518423,2500,2.5,60,0,1,8.76,313.82021642995625,305.06021642995626,122.07291573827781,7324.374944296669,0,240739.64582563023,4202.879779401369,34.42925692388858,0.029045064847337865,130.5492100348618,0.8,0.2,0.416,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,26,313.82021642995625,313.82021642995625,313.82021642995625,313.82021642995625,313.82021642995625,313.82021642995625,313.82021642995625,,2500,2500,2500.0,2500.0,2500.0,2500.0,2500.0,,1,1,1.0,1.0,1.0,1.0,1.0,26.0
,,Washing machine,Washing Machine,WASHING_MACHINE,0.781,ACT_LAUNDRY,0.008239631180411256,525600,4330.750148424157,0.008239631180411256,YES,0.47196350983623836,248064.0207699269,0.017458195408518423,405.54347826086956,0.93275,138,0,1,8.76,191.04129212309613,182.28129212309614,195.90659586554477,27035.110229445178,0,221028.9105404817,3858.765911147667,19.69696780294231,0.050769235651114845,149.20324914813807,0.8,0.2,0.781,0.10033546142617342,0.16388457025233696,0.2584589097122222,0.37131154477589146,0.48463691773812023,0.5509323641662927,0.006070077174430063,0.012123329238714824,0.02419039027104639,0.04608576116715573,0.07702521493403008,0.10983135820064367,27,191.04129212309613,36.764,40.768,44.00874172185431,44.96578303747534,46.49777540106952,48.24071414242728,,405.54347826086956,43.913043478260875,48.69565217391304,52.56658112978297,53.7097265139457,55.539626613795406,57.621493242268606,,1,0,0.0,0.0,0.0,0.0,0.0,27.0
,,Washer dryer,,WASHER_DRYER,0.153,ACT_LAUNDRY,0.008239631180411256,525600,4330.750148424157,0.008239631180411256,YES,0.47196350983623836,248064.0207699269,0.017458195408518423,792.0347860576635,2.6137147939902894,198,0,1,8.76,520.157476087695,511.39747608769505,195.90659586554483,38789.50598137788,0,209274.51478854902,3653.5553732013673,18.649476078431203,0.053620809281421926,79.58409384141734,0.8,0.2,0.153,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28,520.157476087695,520.157476087695,520.157476087695,520.157476087695,520.157476087695,520.157476087695,520.157476087695,,792.0347860576635,792.0347860576635,792.0347860576635,792.0347860576635,792.0347860576635,792.0347860576635,792.0347860576635,,1,1,1.0,1.0,1.0,1.0,1.0,28.0
