Heating Controls Model,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Transition Probability Matrix,,,,,,,,,,,,,,,,
,,,,,,,Heating resulting,,,,,,,,Heating resulting,
,,Heating controls timer state @t+1,,,,,probability of 'on',,,Cooling controls timer state @t+1,,,,,probability of 'on',
Half hour period number,Heating controls timer state  @t,Weekdays,,Weekends,,,week,weekend,,Weekdays,,Weekends,,,week,weekend
,,0,1.0,0,1.0,,,,,0,1.0,0,1.0,,,
30,1,0.168,0.832,0.146,0.854,,0.5500002011772669,0.6050001989665277,,0.168,0.832,0.146,0.854,,0.5500487487792008,0.6050499674986808
31,0,0.74,0.26,0.733,0.267,,0.5900001207063601,0.6300001193799166,,0.74,0.26,0.733,0.267,,0.5900292492675205,0.6300299804992084
31,1,0.14,0.86,0.133,0.867,,0.5900001207063601,0.6300001193799166,,0.14,0.86,0.133,0.867,,0.5900292492675205,0.6300299804992084
32,0,0.704,0.296,0.718,0.282,,0.6500000724238161,0.66000007162795,,0.704,0.296,0.718,0.282,,0.6500175495605123,0.6600179882995251
32,1,0.104,0.896,0.118,0.882,,0.6500000724238161,0.66000007162795,,0.104,0.896,0.118,0.882,,0.6500175495605123,0.6600179882995251
33,0,0.69,0.31,0.711,0.289,,0.7000000434542897,0.6850000429767701,,0.69,0.31,0.711,0.289,,0.7000105297363074,0.6850107929797151
33,1,0.0900000000000001,0.91,0.111,0.889,,0.7000000434542897,0.6850000429767701,,0.0900000000000001,0.91,0.111,0.889,,0.7000105297363074,0.6850107929797151
34,0,0.685,0.315,0.711,0.289,,0.7350000260725738,0.700000025786062,,0.685,0.315,0.711,0.289,,0.7350063178417844,0.700006475787829
34,1,0.085,0.915,0.111,0.889,,0.7350000260725738,0.700000025786062,,0.085,0.915,0.111,0.889,,0.7350063178417844,0.700006475787829
35,0,0.711,0.289,0.73,0.27,,0.7300000156435442,0.6900000154716373,,0.711,0.289,0.73,0.27,,0.7300037907050706,0.6900038854726974
35,1,0.111,0.889,0.13,0.87,,0.7300000156435442,0.6900000154716373,,0.111,0.889,0.13,0.87,,0.7300037907050706,0.6900038854726974
36,0,0.723,0.277,0.744,0.256,,0.7150000093861265,0.6700000092829823,,0.05,0.95,0.05,0.95,,0.95,0.95
36,1,0.123,0.877,0.144,0.856,,0.7150000093861265,0.6700000092829823,,0.05,0.95,0.05,0.95,,0.95,0.95
37,0,0.744,0.256,0.762,0.238,,0.685000005631676,0.6400000055697894,,0.05,0.95,0.05,0.95,,0.95,0.95
37,1,0.144,0.856,0.162,0.838,,0.685000005631676,0.6400000055697894,,0.05,0.95,0.05,0.95,,0.95,0.95
38,0,0.761,0.239,0.784,0.216,,0.6500000033790055,0.6000000033418736,,0.05,0.95,0.05,0.95,,0.95,0.95
38,1,0.161,0.839,0.184,0.816,,0.6500000033790055,0.6000000033418736,,0.05,0.95,0.05,0.95,,0.95,0.95
39,0,0.775,0.225,0.8,0.2,,0.6150000020274033,0.5600000020051242,,0.05,0.95,0.05,0.95,,0.95,0.95
39,1,0.175,0.825,0.2,0.8,,0.6150000020274033,0.5600000020051242,,0.05,0.95,0.05,0.95,,0.95,0.95
40,0,0.799,0.201,0.836,0.164,,0.570000001216442,0.5000000012030745,,0.05,0.95,0.05,0.95,,0.95,0.95
40,1,0.199,0.801,0.236,0.764,,0.570000001216442,0.5000000012030745,,0.05,0.95,0.05,0.95,,0.95,0.95
41,0,0.827,0.173,0.845,0.155,,0.5150000007298652,0.4550000007218447,,0.05,0.95,0.05,0.95,,0.95,0.95
41,1,0.227,0.773,0.245,0.755,,0.5150000007298652,0.4550000007218447,,0.05,0.95,0.05,0.95,,0.95,0.95
42,0,0.854,0.146,0.873,0.127,,0.4550000004379191,0.40000000043310685,,0.05,0.95,0.05,0.95,,0.95,0.95
42,1,0.254,0.746,0.273,0.727,,0.4550000004379191,0.40000000043310685,,0.05,0.95,0.05,0.95,,0.95,0.95
43,0,0.893,0.107,0.905,0.095,,0.38000000026275144,0.3350000002598641,,0.05,0.95,0.05,0.95,,0.95,0.95
43,1,0.293,0.707,0.305,0.695,,0.38000000026275144,0.3350000002598641,,0.05,0.95,0.05,0.95,,0.95,0.95
44,0,0.928,0.0720000000000001,0.941,0.0589999999999999,,0.30000000015765094,0.2600000001559184,,0.05,0.95,0.05,0.95,,0.95,0.95
44,1,0.328,0.672,0.341,0.659,,0.30000000015765094,0.2600000001559184,,0.05,0.95,0.05,0.95,,0.95,0.95
45,0,0.965,0.0349999999999999,0.966,0.0339999999999999,,0.2150000000945905,0.19000000009355097,,0.05,0.95,0.05,0.95,,0.95,0.95
45,1,0.365,0.635,0.366,0.634,,0.2150000000945905,0.19000000009355097,,0.05,0.95,0.05,0.95,,0.95,0.95
46,0,0.979,0.021,0.969,0.031,,0.1500000000567543,0.1450000000561306,,0.05,0.95,0.05,0.95,,0.95,0.95
46,1,0.379,0.621,0.369,0.631,,0.1500000000567543,0.1450000000561306,,0.05,0.95,0.05,0.95,,0.95,0.95
47,0,0.97,0.03,0.9645,0.0355000000000001,,0.12000000003405258,0.12250000003367845,,0.05,0.95,0.05,0.95,,0.95,0.95
47,1,0.37,0.63,0.3645,0.6355,,0.12000000003405258,0.12250000003367845,,0.05,0.95,0.05,0.95,,0.95,0.95
48,0,0.982,0.018,0.9735,0.0265,,0.09000000002043154,0.10000000002020706,,0.05,0.95,0.05,0.95,,0.95,0.95
48,1,0.382,0.618,0.3735,0.6265,,0.09000000002043154,0.10000000002020706,,0.05,0.95,0.05,0.95,,0.95,0.95
